color_code,unique_id,black_box,red_circle,green_triangle,blue_pentagon
2001_5c,brightness_37,"(199, 151, 141)","(187, 116, 119)","(104, 134, 125)","(114, 123, 162)"
2001_5c,shadow_9,"(101, 77, 76)","(89, 58, 63)","(57, 75, 72)","(64, 69, 94)"
8002_10A,rotate_35,"(191, 171, 162)","(134, 39, 45)","(23, 53, 37)","(23, 25, 52)"
2001_4B,rotate_44,"(172, 141, 157)","(122, 22, 34)","(21, 71, 43)","(4, 24, 95)"
2001_4B,noise_61,"(205, 169, 157)","(151, 28, 28)","(19, 85, 43)","(8, 33, 100)"
4005_7A,hue_2,"(208, 210, 207)","(166, 81, 53)","(53, 94, 70)","(48, 51, 115)"
7002_17,noise_16,"(222, 213, 196)","(169, 36, 32)","(30, 113, 62)","(8, 35, 136)"
6004_1A,brightness_37,"(212, 208, 191)","(178, 56, 51)","(15, 72, 42)","(4, 12, 71)"
2002_4B,shadow_54,"(120, 100, 93)","(88, 37, 37)","(33, 60, 44)","(26, 40, 71)"
8002_7c,noise_25,"(192, 157, 155)","(167, 84, 97)","(83, 118, 116)","(77, 95, 144)"
7002_17,gamma_30,"(191, 171, 145)","(133, 27, 31)","(12, 58, 44)","(5, 21, 60)"
2003_6C,gaussian_blur_32,"(189, 167, 154)","(138, 46, 53)","(37, 78, 62)","(12, 28, 79)"
8002_12C,rotate_53,"(165, 118, 88)","(135, 25, 26)","(18, 77, 45)","(9, 37, 102)"
2001_4B,brightness_1,"(141, 129, 150)","(132, 3, 16)","(2, 73, 38)","(1, 7, 113)"
2002_4B,noise_25,"(203, 166, 155)","(159, 30, 30)","(20, 103, 66)","(8, 34, 121)"
8002_12C,gamma_48,"(171, 126, 95)","(143, 30, 32)","(22, 84, 52)","(12, 43, 110)"
2002_6B,motion_blur_67,"(167, 115, 93)","(133, 22, 22)","(22, 72, 43)","(2, 24, 87)"
6004_1A,noise_25,"(208, 208, 196)","(179, 46, 42)","(26, 100, 54)","(8, 35, 119)"
2002_3c,clahe_6,"(171, 121, 124)","(144, 70, 82)","(66, 95, 97)","(68, 81, 125)"
1006_6C,gaussian_blur_14,"(218, 207, 208)","(188, 82, 105)","(73, 128, 112)","(64, 83, 139)"
8007-6G_clahe,6,"(197, 196, 191)","(155, 21, 11)","(21, 71, 36)","(20, 39, 95)"
1004_4b,brightness_1,"(254, 244, 254)","(242, 152, 159)","(149, 183, 172)","(161, 173, 215)"
2001_6B,clahe_51,"(192, 148, 136)","(134, 27, 31)","(22, 78, 47)","(13, 38, 105)"
7003_10,motion_blur_13,"(198, 189, 158)","(133, 28, 24)","(23, 73, 41)","(8, 29, 90)"
1008_5C,gaussian_blur_14,"(161, 94, 83)","(172, 21, 30)","(6, 91, 43)","(20, 35, 77)"
8002_12B,motion_blur_58,"(207, 173, 138)","(138, 24, 23)","(14, 70, 35)","(6, 28, 86)"
8002_12C,gamma_39,"(151, 106, 92)","(119, 14, 23)","(19, 65, 39)","(1, 16, 84)"
8007_3E,clahe_33,"(169, 166, 154)","(134, 32, 40)","(27, 67, 54)","(19, 30, 66)"
P350_rotate,8,"(195, 197, 134)","(171, 35, 32)","(29, 79, 45)","(20, 37, 90)"
7001_19,motion_blur_22,"(193, 184, 168)","(151, 40, 36)","(23, 70, 39)","(10, 28, 79)"
8002_7c,gamma_12,"(195, 162, 158)","(166, 95, 106)","(85, 120, 113)","(90, 108, 150)"
8002_7c,noise_43,"(192, 158, 157)","(200, 142, 142)","(111, 138, 125)","(98, 109, 148)"
2003_6B,motion_blur_67,"(184, 135, 103)","(133, 21, 23)","(16, 67, 39)","(1, 22, 86)"
1008_4B,noise_7,"(221, 193, 235)","(220, 164, 204)","(76, 170, 159)","(54, 94, 231)"
1004_3C,hue_2,"(197, 144, 165)","(191, 35, 83)","(16, 103, 32)","(34, 63, 95)"
2001_4B,gamma_21,"(202, 165, 154)","(133, 28, 27)","(20, 66, 43)","(14, 27, 80)"
2001_6B,rotate_62,"(202, 157, 137)","(139, 27, 25)","(20, 72, 37)","(9, 29, 83)"
P370_clahe,6,"(129, 171, 90)","(148, 21, 23)","(25, 78, 44)","(13, 32, 91)"
1001_4B,clahe_33,"(177, 156, 157)","(142, 35, 47)","(24, 69, 57)","(26, 39, 79)"
1006_6a,clahe_33,"(173, 147, 161)","(143, 72, 80)","(71, 108, 101)","(77, 89, 136)"
2011_4,shadow_9,"(85, 58, 49)","(65, 22, 18)","(52, 67, 55)","(16, 22, 41)"
2011_4,motion_blur_4,"(153, 74, 49)","(193, 66, 56)","(58, 105, 64)","(51, 67, 124)"
8002_9A,brightness_19,"(207, 199, 213)","(225, 143, 162)","(171, 209, 216)","(115, 140, 213)"
8002_9c,rotate_8,"(222, 158, 141)","(228, 95, 90)","(18, 97, 66)","(29, 51, 117)"
2002_6B,motion_blur_58,"(189, 133, 103)","(145, 25, 22)","(16, 74, 37)","(11, 32, 91)"
1003_3C,rotate_8,"(182, 126, 150)","(174, 23, 33)","(4, 93, 42)","(23, 39, 83)"
7001_19,gaussian_blur_32,"(165, 150, 131)","(127, 22, 27)","(10, 53, 42)","(4, 18, 55)"
7003_10,brightness_1,"(186, 180, 166)","(152, 61, 66)","(55, 94, 76)","(53, 67, 119)"
2002_6B,noise_43,"(168, 129, 129)","(170, 22, 39)","(33, 122, 76)","(3, 31, 154)"
2002_6B,gamma_39,"(151, 104, 104)","(120, 15, 26)","(16, 67, 41)","(1, 18, 89)"
1003_3C,clahe_6,"(189, 133, 157)","(178, 27, 40)","(12, 100, 50)","(26, 43, 88)"
7001_21,hue_29,"(192, 170, 159)","(128, 25, 55)","(11, 53, 27)","(5, 33, 56)"
2002_6B,gamma_66,"(153, 97, 76)","(117, 13, 12)","(9, 52, 25)","(0, 14, 71)"
2001_4B,noise_52,"(197, 163, 156)","(158, 30, 32)","(23, 104, 58)","(7, 44, 133)"
7002_17,brightness_10,"(254, 254, 239)","(176, 53, 48)","(50, 106, 69)","(29, 52, 123)"
1001_4B,gamma_21,"(158, 141, 154)","(129, 25, 21)","(14, 55, 27)","(8, 20, 68)"
8002_2c,motion_blur_13,"(173, 146, 177)","(149, 72, 86)","(74, 100, 102)","(84, 90, 135)"
8002_12B,motion_blur_4,"(186, 177, 178)","(170, 41, 54)","(20, 112, 84)","(3, 45, 150)"
2002_3B,brightness_1,"(196, 104, 90)","(197, 61, 71)","(51, 123, 81)","(62, 74, 114)"
8002_12C,hue_29,"(152, 82, 76)","(125, 23, 60)","(24, 67, 41)","(2, 32, 63)"
7001_19,motion_blur_4,"(204, 200, 189)","(164, 57, 53)","(48, 94, 64)","(44, 63, 121)"
1001_4B,noise_25,"(180, 166, 177)","(177, 46, 40)","(35, 109, 60)","(20, 45, 126)"
8002_9A,rotate_8,"(165, 150, 157)","(209, 104, 133)","(80, 123, 117)","(52, 68, 121)"
2001_5c,brightness_1,"(195, 144, 142)","(170, 101, 113)","(100, 137, 133)","(117, 127, 178)"
1004_4C,clahe_6,"(204, 198, 231)","(195, 129, 174)","(61, 150, 141)","(35, 81, 229)"
2002_6C,brightness_46,"(252, 207, 185)","(184, 56, 57)","(47, 116, 78)","(36, 66, 145)"
2002_6B,clahe_69,"(184, 132, 111)","(147, 33, 42)","(27, 80, 49)","(4, 24, 88)"
2003_6B,gaussian_blur_14,"(222, 163, 106)","(209, 59, 50)","(52, 115, 80)","(40, 59, 126)"
7002_10,shadow_45,"(107, 105, 92)","(64, 22, 22)","(4, 21, 10)","(0, 2, 23)"
1008_4a,hue_29,"(187, 155, 121)","(115, 74, 50)","(82, 118, 122)","(77, 59, 123)"
8002_2c,brightness_19,"(224, 193, 227)","(203, 111, 126)","(153, 172, 172)","(147, 150, 195)"
1008_4B,gaussian_blur_5,"(219, 188, 233)","(216, 155, 199)","(70, 155, 146)","(37, 81, 229)"
1002_4B,rotate_17,"(163, 150, 161)","(135, 49, 73)","(14, 44, 42)","(12, 17, 49)"
1008_4B,brightness_19,"(186, 126, 116)","(160, 29, 34)","(23, 55, 31)","(7, 9, 39)"
2003_6B,rotate_44,"(165, 120, 104)","(121, 18, 27)","(26, 71, 46)","(2, 21, 89)"
2002_6C,noise_16,"(222, 177, 139)","(212, 72, 60)","(60, 132, 87)","(44, 67, 140)"
7001_21,motion_blur_13,"(205, 201, 193)","(126, 22, 17)","(15, 67, 34)","(2, 21, 84)"
7001_19,brightness_28,"(121, 108, 91)","(86, 0, 0)","(2, 20, 11)","(0, 0, 21)"
1008_6C,clahe_24,"(167, 138, 136)","(146, 51, 73)","(37, 68, 60)","(26, 33, 72)"
8007_3E,gaussian_blur_14,"(196, 200, 200)","(132, 24, 21)","(25, 77, 44)","(3, 25, 92)"
1004_4C,brightness_19,"(164, 149, 158)","(97, 30, 54)","(30, 65, 63)","(43, 61, 126)"
2001_3C,hue_2,"(184, 94, 107)","(162, 31, 79)","(9, 80, 18)","(22, 47, 69)"
2001_4B,brightness_46,"(202, 171, 164)","(150, 61, 61)","(55, 102, 76)","(46, 68, 124)"
8002_9A,motion_blur_22,"(202, 194, 208)","(221, 135, 155)","(166, 205, 211)","(107, 133, 209)"
1002_4B,gamma_30,"(226, 215, 223)","(204, 97, 118)","(78, 147, 129)","(74, 100, 169)"
8002_9B,noise_43,"(181, 155, 161)","(135, 23, 35)","(28, 87, 55)","(3, 28, 112)"
2003_6C,noise_52,"(198, 172, 153)","(153, 20, 26)","(15, 97, 51)","(4, 40, 125)"
8002_9A,brightness_28,"(124, 107, 94)","(134, 22, 30)","(4, 33, 13)","(1, 5, 32)"
2003_6B,gamma_66,"(187, 138, 106)","(136, 22, 25)","(18, 71, 43)","(1, 23, 89)"
1008_6C,motion_blur_22,"(172, 142, 140)","(123, 31, 48)","(25, 55, 46)","(17, 22, 59)"
8002_9A,shadow_27,"(97, 95, 100)","(104, 76, 82)","(86, 99, 101)","(68, 75, 100)"
1008_4B,brightness_10,"(246, 191, 205)","(247, 122, 145)","(63, 115, 98)","(48, 54, 97)"
8002_2c,rotate_26,"(175, 149, 178)","(156, 78, 91)","(112, 128, 128)","(109, 111, 150)"
7002_17,shadow_18,"(120, 116, 106)","(88, 37, 36)","(37, 59, 45)","(1, 10, 39)"
8002-1B_clahe,6,"(181, 171, 197)","(158, 21, 17)","(23, 82, 49)","(12, 31, 100)"
1004_4C,gamma_21,"(158, 141, 151)","(86, 21, 43)","(22, 54, 52)","(32, 50, 117)"
6004_1A,clahe_24,"(208, 209, 195)","(145, 34, 22)","(19, 67, 38)","(16, 32, 86)"
4005_7A,rotate_17,"(199, 202, 201)","(127, 22, 18)","(26, 75, 41)","(3, 23, 85)"
8007-6G_rotate,8,"(208, 207, 201)","(160, 26, 20)","(23, 75, 39)","(7, 27, 82)"
8002_1A,gaussian_blur_14,"(176, 173, 181)","(184, 86, 109)","(18, 59, 53)","(13, 19, 53)"
2002_6C,noise_7,"(196, 179, 183)","(193, 46, 59)","(29, 140, 97)","(9, 55, 178)"
1008_4B,noise_25,"(191, 140, 132)","(175, 52, 55)","(49, 84, 58)","(35, 37, 69)"
7001_21,shadow_45,"(110, 105, 99)","(88, 54, 52)","(44, 56, 46)","(32, 35, 51)"
7002_10,motion_blur_4,"(211, 209, 197)","(164, 62, 66)","(54, 99, 79)","(51, 70, 131)"
P350_shadow,9,"(100, 101, 79)","(60, 12, 11)","(10, 28, 16)","(6, 13, 31)"
2001_6B,hue_56,"(211, 178, 162)","(148, 44, 40)","(28, 80, 45)","(18, 38, 92)"
1011_clahe,6,"(159, 42, 57)","(195, 40, 43)","(37, 92, 58)","(30, 52, 119)"
1006_6C,gaussian_blur_5,"(221, 218, 225)","(209, 115, 141)","(64, 127, 136)","(38, 72, 176)"
8002_9B,rotate_35,"(181, 153, 149)","(138, 46, 54)","(42, 82, 68)","(18, 36, 86)"
1008_4a,clahe_15,"(177, 135, 138)","(162, 86, 88)","(57, 86, 73)","(62, 72, 110)"
8002_9B,hue_11,"(234, 151, 145)","(221, 38, 98)","(45, 120, 48)","(28, 90, 125)"
2001_4B,motion_blur_31,"(185, 152, 154)","(136, 45, 52)","(34, 73, 58)","(18, 35, 84)"
2002_4B,clahe_15,"(225, 174, 143)","(204, 56, 42)","(49, 112, 78)","(39, 58, 123)"
2003_6B,noise_61,"(199, 150, 109)","(154, 28, 28)","(20, 85, 42)","(16, 38, 103)"
7001_21,noise_16,"(209, 205, 197)","(151, 27, 23)","(21, 95, 49)","(4, 29, 115)"
1001_4B,gaussian_blur_23,"(171, 155, 167)","(145, 37, 31)","(25, 73, 41)","(13, 30, 84)"
2003_6C,motion_blur_4,"(177, 179, 192)","(175, 43, 60)","(15, 117, 90)","(3, 47, 159)"
2001_6B,hue_38,"(170, 141, 143)","(120, 25, 24)","(24, 68, 50)","(6, 12, 89)"
2011_4,rotate_26,"(114, 43, 24)","(171, 48, 41)","(26, 79, 44)","(10, 30, 89)"
8002_9c,rotate_53,"(179, 140, 140)","(135, 67, 76)","(62, 90, 91)","(64, 74, 116)"
2003_6B,shadow_45,"(83, 64, 57)","(52, 7, 12)","(9, 29, 17)","(2, 9, 38)"
2001_4B,brightness_28,"(197, 168, 169)","(154, 74, 81)","(65, 100, 86)","(50, 65, 109)"
2002_3c,gamma_3,"(180, 135, 138)","(163, 91, 103)","(82, 113, 112)","(88, 101, 143)"
1002_4B,gaussian_blur_32,"(221, 208, 218)","(196, 80, 102)","(61, 131, 113)","(59, 84, 157)"
1008_6a,gamma_39,"(157, 123, 122)","(173, 113, 112)","(72, 100, 88)","(71, 84, 115)"
6004_1A,shadow_36,"(110, 106, 97)","(86, 36, 38)","(30, 50, 45)","(28, 34, 52)"
8007_3E,gaussian_blur_5,"(206, 207, 201)","(169, 58, 52)","(51, 93, 60)","(46, 60, 110)"
8002_1A,hue_29,"(167, 146, 149)","(133, 32, 71)","(25, 56, 31)","(22, 34, 54)"
2002_6C,brightness_1,"(148, 129, 134)","(130, 1, 13)","(2, 73, 38)","(1, 6, 107)"
1006_6B,rotate_8,"(224, 214, 250)","(213, 129, 176)","(83, 173, 163)","(52, 100, 250)"
1006_6B,shadow_9,"(112, 108, 122)","(76, 45, 63)","(28, 61, 57)","(18, 36, 90)"
8002_7c,gaussian_blur_5,"(175, 132, 140)","(136, 60, 70)","(53, 78, 77)","(57, 66, 111)"
2011_4,motion_blur_31,"(133, 65, 43)","(166, 41, 45)","(24, 71, 57)","(22, 36, 78)"
8002_12C,gaussian_blur_23,"(183, 135, 95)","(138, 29, 26)","(16, 65, 39)","(7, 24, 80)"
2003_6C,shadow_27,"(117, 108, 100)","(84, 39, 40)","(10, 34, 24)","(1, 11, 38)"
2011_4,motion_blur_22,"(114, 43, 24)","(171, 48, 41)","(25, 78, 43)","(11, 30, 90)"
8002_12B,hue_11,"(214, 114, 122)","(196, 34, 120)","(26, 95, 110)",
1008_4B,gaussian_blur_23,"(188, 134, 125)","(164, 48, 52)","(38, 68, 46)","(29, 30, 56)"
2001_6B,rotate_35,"(186, 147, 143)","(137, 48, 57)","(24, 68, 52)","(16, 34, 84)"
2002_6C,shadow_45,"(107, 92, 93)","(85, 35, 40)","(35, 59, 46)","(26, 35, 68)"
7003_10,noise_43,"(171, 164, 136)","(156, 35, 33)","(10, 76, 34)","(1, 10, 87)"
2001_5c,noise_25,"(189, 140, 135)","(171, 82, 91)","(91, 132, 122)","(114, 123, 166)"
4005_7A,brightness_37,"(214, 207, 191)","(180, 89, 82)","(63, 97, 68)","(46, 53, 87)"
8002_10A,motion_blur_13,"(229, 225, 244)","(198, 87, 131)","(56, 153, 140)","(39, 86, 235)"
2001_5c,rotate_26,"(163, 128, 130)","(148, 69, 77)","(75, 109, 101)","(97, 106, 152)"
7003_10,gamma_39,"(159, 150, 119)","(126, 24, 23)","(4, 37, 15)","(0, 3, 44)"
8002_12B,rotate_26,"(199, 168, 140)","(129, 29, 30)","(19, 68, 47)","(9, 26, 82)"
7003_10,shadow_36,"(86, 80, 69)","(41, 7, 8)","(4, 16, 12)","(2, 6, 18)"
8002_2c,shadow_9,"(106, 96, 106)","(98, 64, 69)","(56, 71, 70)","(60, 65, 85)"
8002_9B,clahe_60,"(214, 178, 157)","(145, 30, 34)","(28, 81, 48)","(18, 37, 93)"
P480_shadow,9,"(8, 29, 48)","(118, 43, 39)","(18, 45, 24)","(11, 20, 50)"
2001_5c,gamma_30,"(143, 97, 98)","(157, 80, 92)","(60, 93, 92)","(72, 85, 138)"
2011_4,clahe_15,"(155, 84, 77)","(164, 43, 49)","(35, 93, 55)","(8, 30, 99)"
8002_12B,hue_65,"(193, 136, 129)","(124, 11, 49)","(15, 61, 23)","(0, 39, 74)"
1008_5C,gamma_12,"(155, 87, 76)","(167, 16, 26)","(4, 84, 36)","(16, 29, 71)"
1006_6a,clahe_15,"(174, 144, 156)","(159, 89, 91)","(108, 132, 119)","(80, 87, 123)"
1004_4b,motion_blur_4,"(200, 176, 190)","(174, 93, 99)","(89, 121, 111)","(101, 111, 149)"
7001_21,rotate_44,"(196, 184, 168)","(143, 60, 54)","(37, 65, 44)","(6, 14, 52)"
1006_6C,brightness_19,"(165, 150, 143)","(121, 46, 51)","(37, 57, 47)","(36, 38, 55)"
1007_5C,shadow_9,"(63, 40, 38)","(58, 5, 10)","(2, 32, 14)","(7, 13, 29)"
8002_1A,brightness_37,"(196, 191, 198)","(114, 53, 74)","(44, 75, 73)","(58, 75, 128)"
2002_4B,noise_7,"(190, 178, 205)","(201, 55, 72)","(21, 156, 122)","(5, 60, 200)"
8007_3E,rotate_26,"(191, 194, 187)","(151, 41, 34)","(28, 69, 39)","(13, 27, 73)"
2011_4,brightness_19,"(82, 23, 7)","(130, 27, 22)","(8, 52, 23)","(1, 13, 62)"
1008_6C,clahe_6,"(219, 208, 236)","(187, 91, 136)","(51, 141, 130)","(31, 76, 225)"
1006_6B,gamma_12,"(216, 192, 191)","(215, 99, 118)","(70, 124, 110)","(46, 59, 111)"
6004_1A,motion_blur_31,"(174, 166, 147)","(126, 23, 26)","(9, 51, 39)","(4, 18, 55)"
8007_3E,noise_25,"(195, 198, 190)","(165, 46, 37)","(30, 82, 44)","(16, 33, 92)"
1001_4B,noise_7,"(200, 193, 222)","(187, 92, 91)","(73, 132, 103)","(68, 93, 168)"
1008_6a,clahe_6,"(172, 132, 135)","(164, 94, 95)","(49, 78, 71)","(51, 62, 106)"
2002_6a,gamma_30,"(137, 93, 90)","(154, 74, 86)","(52, 79, 81)","(56, 67, 112)"
1006_6a,rotate_8,"(187, 155, 169)","(182, 95, 101)","(99, 132, 121)","(111, 120, 161)"
1008_6a,gaussian_blur_32,"(147, 109, 109)","(166, 97, 95)","(57, 84, 73)","(50, 60, 96)"
2003_6B,brightness_46,"(223, 176, 145)","(177, 69, 72)","(62, 119, 89)","(53, 79, 146)"
8002_9B,rotate_71,"(194, 163, 151)","(129, 28, 26)","(44, 89, 66)","(1, 22, 90)"
7001_21,brightness_1,"(171, 171, 163)","(122, 25, 20)","(15, 58, 31)","(11, 28, 80)"
8002_9c,hue_2,"(234, 177, 174)","(240, 122, 138)","(34, 111, 68)","(45, 81, 130)"
1003_3C,shadow_9,"(99, 78, 87)","(65, 8, 12)","(2, 34, 16)","(8, 14, 31)"
1008_6a,clahe_24,"(163, 127, 128)","(167, 103, 101)","(52, 80, 70)","(53, 62, 99)"
1008_4a,motion_blur_13,"(172, 131, 134)","(181, 102, 106)","(76, 106, 93)","(75, 85, 124)"
2003_6B,motion_blur_31,"(180, 135, 111)","(142, 45, 56)","(33, 76, 60)","(12, 28, 78)"
2002_6C,shadow_27,"(120, 105, 95)","(67, 16, 17)","(34, 59, 49)","(31, 38, 67)"
1008_4a,rotate_35,"(181, 136, 137)","(110, 60, 68)","(85, 112, 99)","(69, 82, 117)"
7003_10,shadow_18,"(118, 115, 100)","(62, 12, 11)","(10, 33, 19)","(3, 13, 42)"
2001_5c,gamma_12,"(165, 107, 103)","(146, 67, 78)","(64, 93, 90)","(82, 91, 133)"
8002_9A,noise_25,"(204, 196, 210)","(222, 140, 159)","(167, 206, 212)","(111, 136, 210)"
1004_4C,rotate_35,"(191, 176, 184)","(203, 74, 94)","(46, 112, 93)","(37, 56, 110)"
1008_4a,brightness_19,"(174, 140, 144)","(119, 81, 86)","(94, 112, 103)","(93, 101, 129)"
1008_3C,shadow_9,"(91, 63, 62)","(86, 38, 42)","(35, 60, 46)","(40, 44, 59)"
2003_6B,noise_34,"(189, 149, 128)","(171, 54, 67)","(47, 107, 84)","(18, 44, 119)"
2003_6B,noise_43,"(171, 129, 113)","(140, 22, 31)","(27, 89, 52)","(3, 27, 114)"
8002_12B,shadow_72,"(109, 95, 86)","(52, 6, 8)","(5, 25, 14)","(0, 7, 32)"
2003_6B,brightness_1,"(164, 135, 129)","(147, 14, 31)","(3, 93, 64)","(1, 21, 137)"
1001_4B,motion_blur_13,"(168, 151, 173)","(136, 27, 24)","(16, 70, 37)","(6, 26, 92)"
P490_gamma,3,"(27, 89, 149)","(187, 40, 32)","(45, 98, 61)","(22, 45, 106)"
2001_6B,gaussian_blur_23,"(200, 157, 138)","(132, 27, 25)","(20, 67, 43)","(10, 25, 79)"
1008_6C,gaussian_blur_41,"(222, 205, 198)","(144, 46, 70)","(45, 99, 81)","(65, 88, 159)"
6004_1A,motion_blur_4,"(210, 211, 203)","(165, 57, 55)","(51, 94, 66)","(45, 61, 116)"
2001_4B,gamma_66,"(200, 165, 162)","(137, 28, 31)","(19, 74, 45)","(2, 27, 93)"
2003_6C,rotate_53,"(193, 165, 144)","(128, 16, 20)","(10, 67, 36)","(2, 30, 93)"
2011_4,shadow_36,"(77, 49, 41)","(66, 16, 18)","(10, 28, 23)","(8, 14, 31)"
2002_4B,shadow_18,"(107, 90, 80)","(101, 53, 49)","(50, 70, 59)","(44, 50, 72)"
8002_2B,shadow_9,"(134, 129, 151)","(110, 79, 100)","(60, 93, 94)","(37, 58, 124)"
1006_6C,shadow_45,"(88, 82, 84)","(98, 57, 67)","(41, 56, 55)","(39, 45, 64)"
1006_6a,gamma_30,"(165, 138, 152)","(162, 88, 97)","(72, 110, 103)","(79, 92, 140)"
1008_4B,hue_20,"(168, 149, 118)","(145, 90, 49)","(29, 49, 44)","(27, 20, 37)"
8002_12B,clahe_15,"(226, 184, 136)","(202, 57, 44)","(50, 114, 79)","(43, 64, 129)"
7001_19,noise_7,"(209, 205, 194)","(184, 66, 60)","(59, 116, 78)","(52, 75, 144)"
2001_6C,brightness_1,"(255, 255, 255)","(251, 149, 199)","(102, 211, 190)","(80, 130, 252)"
1008_4a,motion_blur_22,"(167, 126, 130)","(99, 53, 59)","(69, 91, 80)","(67, 78, 112)"
2003_6B,clahe_51,"(186, 140, 109)","(134, 25, 32)","(18, 75, 44)","(8, 34, 101)"
1003_3C,noise_7,"(190, 140, 162)","(205, 28, 38)","(8, 138, 63)","(32, 55, 119)"
4005_7A,clahe_42,"(179, 173, 157)","(137, 45, 31)","(23, 57, 28)","(24, 28, 64)"
2002_6B,noise_16,"(218, 157, 116)","(219, 72, 61)","(61, 132, 90)","(39, 59, 133)"
1004_4C,rotate_44,"(175, 156, 151)","(131, 39, 42)","(34, 59, 44)","(26, 26, 49)"
1008_6a,rotate_8,"(166, 126, 129)","(175, 103, 103)","(61, 91, 84)","(60, 72, 117)"
2011_4,brightness_10,"(84, 25, 13)","(106, 1, 0)","(1, 42, 9)","(0, 0, 57)"
7002_10,rotate_17,"(215, 209, 183)","(128, 24, 19)","(14, 65, 33)","(2, 22, 86)"
7003_10,brightness_37,"(174, 167, 144)","(148, 64, 62)","(44, 75, 55)","(40, 44, 81)"
8002_9A,hue_29,"(159, 142, 135)","(170, 60, 83)","(31, 55, 35)","(28, 35, 54)"
2003_6B,motion_blur_49,"(174, 127, 96)","(128, 20, 23)","(13, 71, 40)","(4, 30, 97)"
8002_9c,hue_20,"(254, 225, 192)","(252, 170, 127)","(125, 178, 161)","(110, 106, 190)"
8007_3E,clahe_24,"(200, 203, 196)","(152, 43, 35)","(20, 62, 31)","(27, 41, 89)"
2001_4B,brightness_55,"(248, 204, 191)","(175, 47, 46)","(37, 97, 59)","(26, 50, 113)"
2002_3c,gaussian_blur_14,"(178, 129, 127)","(185, 123, 124)","(85, 112, 107)","(77, 90, 128)"
2003_6C,gaussian_blur_23,"(192, 173, 156)","(124, 28, 30)","(16, 65, 47)","(5, 24, 80)"
2002_6C,noise_25,"(197, 168, 150)","(154, 36, 38)","(25, 94, 65)","(14, 36, 113)"
1002_4B,motion_blur_40,"(210, 199, 210)","(124, 40, 67)","(26, 67, 63)","(41, 62, 126)"
1002_4B,gamma_3,"(227, 222, 253)","(220, 147, 193)","(94, 183, 173)","(62, 111, 250)"
4005_7A,clahe_24,"(195, 201, 195)","(156, 44, 43)","(19, 65, 34)","(18, 33, 86)"
6004_1A,shadow_9,"(89, 89, 87)","(70, 24, 24)","(49, 68, 56)","(48, 54, 78)"
2002_6C,gamma_30,"(186, 151, 143)","(139, 46, 56)","(31, 71, 56)","(15, 33, 87)"
4005_7A,rotate_44,"(180, 173, 157)","(146, 51, 44)","(25, 59, 30)","(7, 13, 47)"
6004_1A,hue_29,"(190, 179, 175)","(141, 37, 88)","(16, 67, 27)","(11, 55, 71)"
1006_6B,gaussian_blur_14,"(215, 190, 190)","(214, 96, 115)","(66, 121, 106)","(42, 56, 108)"
7002_10,brightness_28,"(193, 179, 150)","(136, 38, 39)","(25, 62, 50)","(20, 33, 65)"
2001_6C,gamma_30,"(154, 125, 128)","(99, 23, 45)","(8, 33, 31)","(7, 12, 39)"
8007-6G_shadow,9,"(78, 78, 76)","(59, 10, 7)","(10, 28, 16)","(34, 41, 61)"
8002_2B,motion_blur_4,"(221, 210, 252)","(222, 157, 201)","(118, 186, 188)","(76, 118, 250)"
2002_3c,clahe_15,"(181, 132, 130)","(187, 123, 126)","(81, 107, 102)","(76, 90, 127)"
8002_9B,gamma_12,"(230, 194, 163)","(217, 72, 61)","(59, 125, 89)","(43, 64, 130)"
2002_6C,rotate_8,"(191, 172, 177)","(173, 41, 52)","(22, 113, 77)","(6, 46, 149)"
1006_6B,noise_7,"(229, 220, 251)","(219, 146, 188)","(102, 186, 177)","(81, 121, 249)"
8002_9c,rotate_17,"(239, 182, 164)","(236, 119, 112)","(155, 188, 164)","(131, 143, 192)"
7003_10,clahe_24,"(204, 199, 161)","(143, 34, 19)","(21, 69, 37)","(8, 25, 81)"
7001_19,noise_25,"(196, 187, 172)","(163, 44, 39)","(28, 85, 47)","(13, 33, 95)"
2001_4B,noise_16,"(227, 187, 165)","(214, 70, 61)","(59, 134, 92)","(42, 66, 144)"
8002_9B,clahe_6,"(162, 158, 176)","(181, 48, 62)","(7, 104, 73)","(4, 40, 149)"
2001_3C,gamma_3,"(182, 85, 70)","(158, 13, 22)","(3, 74, 31)","(13, 25, 64)"
2002_7c,gaussian_blur_5,"(178, 129, 127)","(185, 122, 124)","(85, 112, 107)","(77, 90, 128)"
7003_10,hue_11,"(215, 182, 165)","(151, 23, 74)","(28, 90, 24)","(6, 74, 107)"
7002_10,motion_blur_13,"(215, 209, 183)","(129, 24, 19)","(21, 70, 39)","(2, 22, 85)"
1002_4B,motion_blur_22,"(177, 163, 159)","(140, 42, 44)","(26, 57, 40)","(26, 26, 54)"
7001_19,hue_2,"(213, 213, 213)","(174, 67, 129)","(57, 121, 131)","(57, 121, 131)"
2001_6B,brightness_1,"(206, 181, 195)","(186, 39, 52)","(16, 116, 76)","(1, 41, 154)"
2002_6C,gaussian_blur_23,"(192, 161, 142)","(134, 31, 32)","(20, 69, 49)","(10, 27, 86)"
8002_2c,gamma_3,"(176, 152, 176)","(156, 80, 92)","(61, 96, 93)","(72, 83, 130)"
8002_9B,clahe_15,"(222, 182, 148)","(210, 58, 46)","(40, 104, 68)","(36, 55, 121)"
